catalogue_key,make,model_group,generation_name,chassis_platform_code,production_start_year,production_end_year,year_basis,scope_note,bg_market_evidence,bg_market_catalogue_source_url,bg_market_context_source_url,technical_source_name,technical_source_url,priority,priority_reason,confidence,local_confirmation_required,source_checked_on
volkswagen__polo__polo-iv__9n-9n1-9n3,Volkswagen,Polo,Polo IV,9N (9N1/9N3),2001,2009,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback. Polo Classic, Variant, and regional sedans are excluded.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Polo model archive,https://www.volkswagen-newsroom.com/en/polo-iv-20012009-19150,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
volkswagen__polo__polo-v__6r-6c,Volkswagen,Polo,Polo V,6R/6C,2009,2017,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","European hatchback. Polo Classic, Variant, and regional sedans are excluded.",MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Polo model archive,https://www.volkswagen-newsroom.com/en/polo-5-20092017-20044,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
volkswagen__touran__touran-i__1t-1t1-1t2-1t3,Volkswagen,Touran,Touran I,1T (1T1/1T2/1T3),2003,2015,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",The first-generation 1T type codes are kept under one OEM generation. Do not assume exterior-part compatibility across facelifts.,MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Touran I archive,https://www.volkswagen-newsroom.com/en/engine-versions-touran-1-profile-19721,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",medium,true,2026-09-07
volkswagen__tiguan__tiguan-i__5n,Volkswagen,Tiguan,Tiguan I,5N,2007,2016,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European short-wheelbase model. Do not assume body-part compatibility with the second-generation Allspace/BW2.,MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Tiguan history,https://www.volkswagen-newsroom.com/en/tiguan-6611,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
volkswagen__tiguan__tiguan-ii__ad1-bw2-allspace-separate-fitment,Volkswagen,Tiguan,Tiguan II,AD1 (BW2 Allspace separate fitment),2016,2024,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European short-wheelbase model. Do not assume body-part compatibility with the second-generation Allspace/BW2.,MEGAPARTS has a generation- and body-based Volkswagen used-parts catalogue. Volkswagen held about 14.5% of Bulgarian used-vehicle registrations in 2025 and ranked first in the MVR-derived fleet data; Golf and Passat were specifically identified as common models.,https://www.megaparts.bg/products/avtochasti/volkswagen/golf-iv-variant,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Volkswagen Newsroom - Tiguan history,https://www.volkswagen-newsroom.com/en/tiguan-6611,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__c-class__w202-s202__w202-s202,Mercedes-Benz,C-Class,W202/S202,W202/S202,1993,2001,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Core sedan and estate generation. SportCoupe, coupe, and cabriolet fitment must be handled by their exact chassis/body codes.",MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P2,"Low-priority retention: older generation, thinner supply, or a naming/body boundary that should be validated against local inventory.",high,false,2026-09-07
mercedes-benz__c-class__w203-s203__w203-s203,Mercedes-Benz,C-Class,W203/S203,W203/S203,2000,2007,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Core sedan and estate generation. SportCoupe, coupe, and cabriolet fitment must be handled by their exact chassis/body codes.",MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
mercedes-benz__c-class__w204-s204__w204-s204,Mercedes-Benz,C-Class,W204/S204,W204/S204,2007,2014,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Core sedan and estate generation. SportCoupe, coupe, and cabriolet fitment must be handled by their exact chassis/body codes.",MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
mercedes-benz__c-class__w205-s205__w205-s205,Mercedes-Benz,C-Class,W205/S205,W205/S205,2014,2021,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Core sedan and estate generation. SportCoupe, coupe, and cabriolet fitment must be handled by their exact chassis/body codes.",MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
mercedes-benz__e-class__w210-s210__w210-s210,Mercedes-Benz,E-Class,W210/S210,W210/S210,1995,2003,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Core sedan and estate models using W/S codes. C/A-series coupe and cabriolet models are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__e-class__w211-s211__w211-s211,Mercedes-Benz,E-Class,W211/S211,W211/S211,2002,2009,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Core sedan and estate models using W/S codes. C/A-series coupe and cabriolet models are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
mercedes-benz__e-class__w212-s212__w212-s212,Mercedes-Benz,E-Class,W212/S212,W212/S212,2009,2016,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Core sedan and estate models using W/S codes. C/A-series coupe and cabriolet models are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
mercedes-benz__e-class__w213-s213__w213-s213,Mercedes-Benz,E-Class,W213/S213,W213/S213,2016,2023,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Core sedan and estate models using W/S codes. C/A-series coupe and cabriolet models are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__a-class__w168__w168,Mercedes-Benz,A-Class,W168,W168,1997,2004,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European hatchback. Long-wheelbase and regional sedans are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P2,"Low-priority retention: older generation, thinner supply, or a naming/body boundary that should be validated against local inventory.",high,false,2026-09-07
mercedes-benz__a-class__w169__w169,Mercedes-Benz,A-Class,W169,W169,2004,2012,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European hatchback. Long-wheelbase and regional sedans are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__a-class__w176__w176,Mercedes-Benz,A-Class,W176,W176,2012,2018,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",European hatchback. Long-wheelbase and regional sedans are excluded.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__m-class-gle__w163-m-class__w163,Mercedes-Benz,M-Class / GLE,W163 M-Class,W163,1997,2005,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Only the W166 M-Class-to-GLE rename is grouped. W163 and W164 remain separate generations.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P2,"Low-priority retention: older generation, thinner supply, or a naming/body boundary that should be validated against local inventory.",high,false,2026-09-07
mercedes-benz__m-class-gle__w164-m-class__w164,Mercedes-Benz,M-Class / GLE,W164 M-Class,W164,2005,2011,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Only the W166 M-Class-to-GLE rename is grouped. W163 and W164 remain separate generations.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",high,false,2026-09-07
mercedes-benz__m-class-gle__w166-m-class-gle__w166,Mercedes-Benz,M-Class / GLE,W166 M-Class / GLE,W166,2011,2019,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.",Only the W166 M-Class-to-GLE rename is grouped. W163 and W164 remain separate generations.,MEGAPARTS separates Mercedes-Benz used parts by W/S/C chassis series. Mercedes-Benz held about 12% of Bulgarian used-vehicle registrations in 2025 and ranked third in the MVR-derived fleet data.,https://www.megaparts.bg/products/avtochasti/mercedes-benz/cla-class-sedan-c118,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,Mercedes-Benz Public Archive - model series archive,https://mercedes-benz-publicarchive.com/,P1,"Include in v1: stable local used-parts supply or fleet presence, but rank below the highest-volume core models.",medium,true,2026-09-07
bmw__3-series__e46__e46,BMW,3 Series,E46,E46,1997,2006,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Sedan, estate, coupe, and cabriolet use separate chassis codes. Do not assume body, glass, or interior compatibility across body styles.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
bmw__3-series__e9x__e90-e91-e92-e93,BMW,3 Series,E9x,E90/E91/E92/E93,2004,2013,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Sedan, estate, coupe, and cabriolet use separate chassis codes. Do not assume body, glass, or interior compatibility across body styles.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
bmw__3-series__f3x__f30-f31-f34,BMW,3 Series,F3x,F30/F31/F34,2011,2020,"European market, year-level precision; where included body styles overlap, use the earliest start and latest end year within this row's scope.","Sedan, estate, coupe, and cabriolet use separate chassis codes. Do not assume body, glass, or interior compatibility across body styles.","MEGAPARTS classifies BMW used parts by E/F/G chassis codes. BMW held about 7.4% of Bulgarian used-vehicle registrations in 2025; 3 Series, 5 Series, and X5 appear in the local popular-model context.",https://www.megaparts.bg/products/avtochasti/bmw/3-series-e90-touring-e91,https://automedia.investor.bg/a/2-novini/63923-eto-nay-tarsenite-koli-na-staro-v-balgariya-prez-2025,BMW Group PressClub - official model and archive material,https://www.press.bmwgroup.com/global,P0,Launch core: high Bulgarian fleet or used-registration presence with clear generation-level local used-parts supply.,high,false,2026-09-07
